date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2014/2/6,155000,33000,KX,Appartement,32,2,
2014/6/11,286000,33000,LY,Maison,105,4,132
2014/10/31,200000,33000,HW,Maison,30,1,
2014/10/31,200000,33000,HW,Appartement,32,2,
2014/10/31,200000,33000,HW,Appartement,28,2,
2015/7/24,545000,33000,LT,Maison,159,6,245
2015/9/25,212000,33000,IW,Appartement,68,3,106
2015/6/29,210000,33000,DX,Maison,43,2,82
2015/10/9,187000,33000,HD,Appartement,47,2,
2015/10/19,275000,33000,IH,Appartement,92,4,212
2015/10/19,275000,33000,IH,Appartement,45,2,212
2016/2/1,770000,33000,LV,Maison,197,7,327
2016/2/9,162500,33000,IU,Appartement,64,3,
2016/2/17,80000,33000,IU,Appartement,28,1,
2016/8/5,148000,33000,IU,Appartement,67,3,
2016/10/3,310000,33000,KE,Appartement,75,3,
2016/12/28,261100,33000,OW,Appartement,55,2,
2017/1/16,191000,33000,IU,Appartement,50,2,
2017/6/9,823026,33000,LP,Maison,196,6,233
2017/9/20,362000,33000,IU,Appartement,109,4,
2017/10/12,150000,33000,KX,Appartement,28,1,
2017/11/10,360770,33000,IW,Appartement,68,3,106
2017/11/28,154020,33000,IU,Appartement,39,2,
2017/6/22,165500,33000,HB,Appartement,35,2,
2017/12/12,490000,33000,IO,Maison,90,4,227
2018/1/22,450000,33000,LN,Appartement,28,2,159
2018/1/22,450000,33000,LN,Appartement,66,3,159
2018/2/19,143500,33000,IU,Appartement,29,1,
2018/4/27,146800,33000,KX,Appartement,31,1,
2018/8/2,3350000,33000,KT,Appartement,77,2,853
2018/8/31,262000,33000,IU,Appartement,75,4,
2018/4/23,340000,33000,DS,Appartement,15,1,
2018/4/23,340000,33000,DS,Appartement,30,2,
2018/4/23,340000,33000,DS,Appartement,19,1,
2018/9/19,215000,33000,HD,Appartement,47,1,
2018/9/28,221000,33000,HD,Appartement,48,1,
2019/3/12,247000,33000,IU,Appartement,64,3,
2019/3/22,300000,33000,KI,Appartement,46,2,
2019/5/10,396500,33000,KY,Maison,79,4,154
2019/2/18,498750,33000,IS,Maison,107,4,154
2014/4/15,303000,33000,MA,Appartement,40,2,224
2014/4/15,303000,33000,MA,Appartement,22,2,224
2014/4/15,303000,33000,MA,Appartement,40,2,224
2014/9/25,95000,33000,MA,Appartement,112,3,
2014/11/6,84300,33000,PC,Appartement,29,2,
2014/2/17,85000,33000,IA,Appartement,27,1,
2014/12/16,120000,33000,IA,Appartement,41,1,
2015/3/3,415000,33000,LX,Appartement,61,2,135
2015/11/18,136000,33000,PC,Appartement,30,2,
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,39,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,60,3,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,36,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,36,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,39,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
